protein_name,preds,score
CQVOUPRT_CDS_5912,1,0.5750207304954529
CQVOUPRT_CDS_2521,1,0.9699641466140747
CQVOUPRT_CDS_1007,1,0.9966145157814026
CQVOUPRT_CDS_1010,1,0.9839497804641724
CQVOUPRT_CDS_0593,1,0.9955150485038757
CQVOUPRT_CDS_0594,1,0.9917156100273132
CQVOUPRT_CDS_0273,1,0.9930579662322998
CQVOUPRT_CDS_2683,1,0.9986592531204224
CQVOUPRT_CDS_3611,1,0.9972056746482849
CQVOUPRT_CDS_2424,1,0.9981131553649902
CQVOUPRT_CDS_2427,1,0.9983038902282715
CQVOUPRT_CDS_6346,1,0.9937831163406372
CQVOUPRT_CDS_6348,1,0.9987545013427734
CQVOUPRT_CDS_5281,1,0.9963611960411072
CQVOUPRT_CDS_2853,1,0.995627760887146
CQVOUPRT_CDS_3848,1,0.9965518712997437
CQVOUPRT_CDS_3850,1,0.9903199076652527
CQVOUPRT_CDS_1468,1,0.9976091384887695
CQVOUPRT_CDS_1478,1,0.996654748916626
CQVOUPRT_CDS_4836,1,0.9928842782974243
CQVOUPRT_CDS_4838,1,0.9890137314796448
CQVOUPRT_CDS_3402,1,0.9473505020141602
CQVOUPRT_CDS_3405,1,0.9982630610466003
CQVOUPRT_CDS_5522,1,0.9976997971534729
CQVOUPRT_CDS_2211,1,0.997455894947052
CQVOUPRT_CDS_2213,1,0.7756461501121521
CQVOUPRT_CDS_3084,1,0.9497263431549072
CQVOUPRT_CDS_6139,1,0.9962373971939087
CQVOUPRT_CDS_6141,1,0.9984972476959229
CQVOUPRT_CDS_4088,1,0.9918161034584045
CQVOUPRT_CDS_4090,1,0.9991458654403687
CQVOUPRT_CDS_0277,1,0.9991342425346375
CQVOUPRT_CDS_2721,1,0.9794308543205261
CQVOUPRT_CDS_5742,1,0.9872667193412781
CQVOUPRT_CDS_2431,1,0.9981945157051086
CQVOUPRT_CDS_6351,1,0.9897006750106812
CQVOUPRT_CDS_6371,1,0.965976893901825
CQVOUPRT_CDS_3194,1,0.9955304265022278
CQVOUPRT_CDS_2918,1,0.9982640147209167
CQVOUPRT_CDS_1569,1,0.9976208806037903
CQVOUPRT_CDS_1570,1,0.9939760565757751
CQVOUPRT_CDS_1571,1,0.9337179660797119
CQVOUPRT_CDS_1573,1,0.9920499920845032
CQVOUPRT_CDS_0116,1,0.9988154172897339
CQVOUPRT_CDS_1086,1,0.9975007176399231
CQVOUPRT_CDS_2257,1,0.9955750703811646
CQVOUPRT_CDS_2261,1,0.969426691532135
CQVOUPRT_CDS_4281,1,0.9962546825408936
CQVOUPRT_CDS_0365,1,0.9970812201499939
